forecast_week,sku_id,dc_id,dc_name,customer,uom,forecast_qty
2026-W26,SKU0002,NV,Nevada DC,Target,CASE,7359
2026-W15,SKU0003,PA,Pennsylvania DC,Walmart,CASE,11511
2026-W16,SKU0003,PA,Pennsylvania DC,Walmart,CASE,11321
2026-W17,SKU0003,PA,Pennsylvania DC,Walmart,CASE,10950
2026-W18,SKU0003,PA,Pennsylvania DC,Walmart,CASE,11578
2026-W19,SKU0003,PA,Pennsylvania DC,Walmart,CASE,12278
2026-W20,SKU0003,PA,Pennsylvania DC,Walmart,CASE,11249
2026-W21,SKU0003,PA,Pennsylvania DC,Walmart,CASE,12347
2026-W22,SKU0003,PA,Pennsylvania DC,Walmart,CASE,12596
2026-W23,SKU0003,PA,Pennsylvania DC,Walmart,CASE,12272
2026-W24,SKU0003,PA,Pennsylvania DC,Walmart,CASE,12321
2026-W25,SKU0003,PA,Pennsylvania DC,Walmart,CASE,13147
2026-W26,SKU0003,PA,Pennsylvania DC,Walmart,CASE,12038
2026-W15,SKU0003,TX,Texas DC,Walmart,CASE,11274
2026-W16,SKU0003,TX,Texas DC,Walmart,CASE,10902
2026-W17,SKU0003,TX,Texas DC,Walmart,CASE,10644
2026-W18,SKU0003,TX,Texas DC,Walmart,CASE,11513
2026-W19,SKU0003,TX,Texas DC,Walmart,CASE,11312
2026-W20,SKU0003,TX,Texas DC,Walmart,CASE,12015
2026-W21,SKU0003,TX,Texas DC,Walmart,CASE,11416
2026-W22,SKU0003,TX,Texas DC,Walmart,CASE,11320
2026-W23,SKU0003,TX,Texas DC,Walmart,CASE,11416
2026-W24,SKU0003,TX,Texas DC,Walmart,CASE,12197
2026-W25,SKU0003,TX,Texas DC,Walmart,CASE,12278
2026-W26,SKU0003,TX,Texas DC,Walmart,CASE,12580
2026-W15,SKU0003,FL,Florida DC,Walmart,CASE,10903
2026-W16,SKU0003,FL,Florida DC,Walmart,CASE,10503
2026-W17,SKU0003,FL,Florida DC,Walmart,CASE,10538
2026-W18,SKU0003,FL,Florida DC,Walmart,CASE,10840
2026-W19,SKU0003,FL,Florida DC,Walmart,CASE,10364
2026-W20,SKU0003,FL,Florida DC,Walmart,CASE,11206
2026-W21,SKU0003,FL,Florida DC,Walmart,CASE,11516
2026-W22,SKU0003,FL,Florida DC,Walmart,CASE,11398
2026-W23,SKU0003,FL,Florida DC,Walmart,CASE,11670
2026-W24,SKU0003,FL,Florida DC,Walmart,CASE,11738
2026-W25,SKU0003,FL,Florida DC,Walmart,CASE,11223
2026-W26,SKU0003,FL,Florida DC,Walmart,CASE,11647
2026-W15,SKU0003,NV,Nevada DC,Walmart,CASE,9734
2026-W16,SKU0003,NV,Nevada DC,Walmart,CASE,10178
2026-W17,SKU0003,NV,Nevada DC,Walmart,CASE,9717
2026-W18,SKU0003,NV,Nevada DC,Walmart,CASE,10073
2026-W19,SKU0003,NV,Nevada DC,Walmart,CASE,9625
2026-W20,SKU0003,NV,Nevada DC,Walmart,CASE,9625
2026-W21,SKU0003,NV,Nevada DC,Walmart,CASE,9563
2026-W22,SKU0003,NV,Nevada DC,Walmart,CASE,10314
2026-W23,SKU0003,NV,Nevada DC,Walmart,CASE,10027
2026-W24,SKU0003,NV,Nevada DC,Walmart,CASE,9799
2026-W25,SKU0003,NV,Nevada DC,Walmart,CASE,9387
2026-W26,SKU0003,NV,Nevada DC,Walmart,CASE,9380
2026-W15,SKU0003,PA,Pennsylvania DC,Amazon,CASE,7892
2026-W16,SKU0003,PA,Pennsylvania DC,Amazon,CASE,8574
2026-W17,SKU0003,PA,Pennsylvania DC,Amazon,CASE,8743
2026-W18,SKU0003,PA,Pennsylvania DC,Amazon,CASE,8607
2026-W19,SKU0003,PA,Pennsylvania DC,Amazon,CASE,8735
2026-W20,SKU0003,PA,Pennsylvania DC,Amazon,CASE,8811
2026-W21,SKU0003,PA,Pennsylvania DC,Amazon,CASE,8686
2026-W22,SKU0003,PA,Pennsylvania DC,Amazon,CASE,8580
2026-W23,SKU0003,PA,Pennsylvania DC,Amazon,CASE,8904
2026-W24,SKU0003,PA,Pennsylvania DC,Amazon,CASE,9314
2026-W25,SKU0003,PA,Pennsylvania DC,Amazon,CASE,9501
2026-W26,SKU0003,PA,Pennsylvania DC,Amazon,CASE,9723
2026-W15,SKU0003,TX,Texas DC,Amazon,CASE,7360
2026-W16,SKU0003,TX,Texas DC,Amazon,CASE,7549
2026-W17,SKU0003,TX,Texas DC,Amazon,CASE,7850
2026-W18,SKU0003,TX,Texas DC,Amazon,CASE,8432
2026-W19,SKU0003,TX,Texas DC,Amazon,CASE,7992
2026-W20,SKU0003,TX,Texas DC,Amazon,CASE,7437
2026-W21,SKU0003,TX,Texas DC,Amazon,CASE,7714
2026-W22,SKU0003,TX,Texas DC,Amazon,CASE,8472
2026-W23,SKU0003,TX,Texas DC,Amazon,CASE,8473
2026-W24,SKU0003,TX,Texas DC,Amazon,CASE,8323
2026-W25,SKU0003,TX,Texas DC,Amazon,CASE,8540
2026-W26,SKU0003,TX,Texas DC,Amazon,CASE,7319
2026-W15,SKU0003,FL,Florida DC,Amazon,CASE,7998
2026-W16,SKU0003,FL,Florida DC,Amazon,CASE,7611
2026-W17,SKU0003,FL,Florida DC,Amazon,CASE,7556
2026-W18,SKU0003,FL,Florida DC,Amazon,CASE,7611
2026-W19,SKU0003,FL,Florida DC,Amazon,CASE,8150
2026-W20,SKU0003,FL,Florida DC,Amazon,CASE,7722
2026-W21,SKU0003,FL,Florida DC,Amazon,CASE,8412
2026-W22,SKU0003,FL,Florida DC,Amazon,CASE,8715
2026-W23,SKU0003,FL,Florida DC,Amazon,CASE,8005
2026-W24,SKU0003,FL,Florida DC,Amazon,CASE,8499
2026-W25,SKU0003,FL,Florida DC,Amazon,CASE,8446
2026-W26,SKU0003,FL,Florida DC,Amazon,CASE,8610
2026-W15,SKU0003,NV,Nevada DC,Amazon,CASE,7159
2026-W16,SKU0003,NV,Nevada DC,Amazon,CASE,7439
2026-W17,SKU0003,NV,Nevada DC,Amazon,CASE,7483
2026-W18,SKU0003,NV,Nevada DC,Amazon,CASE,7316
2026-W19,SKU0003,NV,Nevada DC,Amazon,CASE,6933
2026-W20,SKU0003,NV,Nevada DC,Amazon,CASE,6907
2026-W21,SKU0003,NV,Nevada DC,Amazon,CASE,6990
2026-W22,SKU0003,NV,Nevada DC,Amazon,CASE,7356
2026-W23,SKU0003,NV,Nevada DC,Amazon,CASE,7401
2026-W24,SKU0003,NV,Nevada DC,Amazon,CASE,7082
2026-W25,SKU0003,NV,Nevada DC,Amazon,CASE,7391
2026-W26,SKU0003,NV,Nevada DC,Amazon,CASE,7251
2026-W15,SKU0004,NV,Nevada DC,Walmart,CASE,21691
2026-W16,SKU0004,NV,Nevada DC,Walmart,CASE,20210
2026-W17,SKU0004,NV,Nevada DC,Walmart,CASE,20940
2026-W18,SKU0004,NV,Nevada DC,Walmart,CASE,20602
2026-W19,SKU0004,NV,Nevada DC,Walmart,CASE,21515
2026-W20,SKU0004,NV,Nevada DC,Walmart,CASE,21071
2026-W21,SKU0004,NV,Nevada DC,Walmart,CASE,21488
2026-W22,SKU0004,NV,Nevada DC,Walmart,CASE,20052
2026-W23,SKU0004,NV,Nevada DC,Walmart,CASE,20860
2026-W24,SKU0004,NV,Nevada DC,Walmart,CASE,21332
2026-W25,SKU0004,NV,Nevada DC,Walmart,CASE,19965
2026-W26,SKU0004,NV,Nevada DC,Walmart,CASE,20644
2026-W15,SKU0004,PA,Pennsylvania DC,Walmart,CASE,15547
2026-W16,SKU0004,PA,Pennsylvania DC,Walmart,CASE,15541
2026-W17,SKU0004,PA,Pennsylvania DC,Walmart,CASE,14757
2026-W18,SKU0004,PA,Pennsylvania DC,Walmart,CASE,14476
2026-W19,SKU0004,PA,Pennsylvania DC,Walmart,CASE,15100
2026-W20,SKU0004,PA,Pennsylvania DC,Walmart,CASE,14990
2026-W21,SKU0004,PA,Pennsylvania DC,Walmart,CASE,14492
2026-W22,SKU0004,PA,Pennsylvania DC,Walmart,CASE,15159
2026-W23,SKU0004,PA,Pennsylvania DC,Walmart,CASE,14658
2026-W24,SKU0004,PA,Pennsylvania DC,Walmart,CASE,15202
2026-W25,SKU0004,PA,Pennsylvania DC,Walmart,CASE,15382
2026-W26,SKU0004,PA,Pennsylvania DC,Walmart,CASE,14864
2026-W15,SKU0004,WI,Wisconsin DC,Walmart,CASE,15395
2026-W16,SKU0004,WI,Wisconsin DC,Walmart,CASE,14235
2026-W17,SKU0004,WI,Wisconsin DC,Walmart,CASE,14365
2026-W18,SKU0004,WI,Wisconsin DC,Walmart,CASE,16049
2026-W19,SKU0004,WI,Wisconsin DC,Walmart,CASE,16134
2026-W20,SKU0004,WI,Wisconsin DC,Walmart,CASE,15827
2026-W21,SKU0004,WI,Wisconsin DC,Walmart,CASE,16002
2026-W22,SKU0004,WI,Wisconsin DC,Walmart,CASE,16421
2026-W23,SKU0004,WI,Wisconsin DC,Walmart,CASE,16084
2026-W24,SKU0004,WI,Wisconsin DC,Walmart,CASE,15717
2026-W25,SKU0004,WI,Wisconsin DC,Walmart,CASE,15716
2026-W26,SKU0004,WI,Wisconsin DC,Walmart,CASE,16442
2026-W15,SKU0004,TX,Texas DC,Walmart,CASE,17780
2026-W16,SKU0004,TX,Texas DC,Walmart,CASE,17011
2026-W17,SKU0004,TX,Texas DC,Walmart,CASE,16263
2026-W18,SKU0004,TX,Texas DC,Walmart,CASE,16448
2026-W19,SKU0004,TX,Texas DC,Walmart,CASE,19125
2026-W20,SKU0004,TX,Texas DC,Walmart,CASE,17229
2026-W21,SKU0004,TX,Texas DC,Walmart,CASE,16529
2026-W22,SKU0004,TX,Texas DC,Walmart,CASE,17035
2026-W23,SKU0004,TX,Texas DC,Walmart,CASE,18048
2026-W24,SKU0004,TX,Texas DC,Walmart,CASE,19182
2026-W25,SKU0004,TX,Texas DC,Walmart,CASE,15784
2026-W26,SKU0004,TX,Texas DC,Walmart,CASE,16218
2026-W15,SKU0005,PA,Pennsylvania DC,Walmart,CASE,13952
2026-W16,SKU0005,PA,Pennsylvania DC,Walmart,CASE,14099
2026-W17,SKU0005,PA,Pennsylvania DC,Walmart,CASE,14655
2026-W18,SKU0005,PA,Pennsylvania DC,Walmart,CASE,14085
2026-W19,SKU0005,PA,Pennsylvania DC,Walmart,CASE,14617
2026-W20,SKU0005,PA,Pennsylvania DC,Walmart,CASE,12188
2026-W21,SKU0005,PA,Pennsylvania DC,Walmart,CASE,13165
2026-W22,SKU0005,PA,Pennsylvania DC,Walmart,CASE,12439
2026-W23,SKU0005,PA,Pennsylvania DC,Walmart,CASE,13322
2026-W24,SKU0005,PA,Pennsylvania DC,Walmart,CASE,12824
2026-W25,SKU0005,PA,Pennsylvania DC,Walmart,CASE,13678
2026-W26,SKU0005,PA,Pennsylvania DC,Walmart,CASE,14977
2026-W15,SKU0005,FL,Florida DC,Walmart,CASE,12618
2026-W16,SKU0005,FL,Florida DC,Walmart,CASE,13384
2026-W17,SKU0005,FL,Florida DC,Walmart,CASE,12427
2026-W18,SKU0005,FL,Florida DC,Walmart,CASE,13548
2026-W19,SKU0005,FL,Florida DC,Walmart,CASE,12061
2026-W20,SKU0005,FL,Florida DC,Walmart,CASE,13214
2026-W21,SKU0005,FL,Florida DC,Walmart,CASE,12901
2026-W22,SKU0005,FL,Florida DC,Walmart,CASE,13994
2026-W23,SKU0005,FL,Florida DC,Walmart,CASE,11892
2026-W24,SKU0005,FL,Florida DC,Walmart,CASE,11874
2026-W25,SKU0005,FL,Florida DC,Walmart,CASE,13651
2026-W26,SKU0005,FL,Florida DC,Walmart,CASE,12621
2026-W15,SKU0005,NV,Nevada DC,Walmart,CASE,11630
2026-W16,SKU0005,NV,Nevada DC,Walmart,CASE,12274
2026-W17,SKU0005,NV,Nevada DC,Walmart,CASE,12294
2026-W18,SKU0005,NV,Nevada DC,Walmart,CASE,11601
2026-W19,SKU0005,NV,Nevada DC,Walmart,CASE,12517
2026-W20,SKU0005,NV,Nevada DC,Walmart,CASE,12256
2026-W21,SKU0005,NV,Nevada DC,Walmart,CASE,12388
2026-W22,SKU0005,NV,Nevada DC,Walmart,CASE,12845
2026-W23,SKU0005,NV,Nevada DC,Walmart,CASE,12745
2026-W24,SKU0005,NV,Nevada DC,Walmart,CASE,12693
2026-W25,SKU0005,NV,Nevada DC,Walmart,CASE,13696
2026-W26,SKU0005,NV,Nevada DC,Walmart,CASE,14007
2026-W15,SKU0005,WA,Washington DC,Walmart,CASE,11549
2026-W16,SKU0005,WA,Washington DC,Walmart,CASE,10784
2026-W17,SKU0005,WA,Washington DC,Walmart,CASE,11345
2026-W18,SKU0005,WA,Washington DC,Walmart,CASE,11304
2026-W19,SKU0005,WA,Washington DC,Walmart,CASE,11787
2026-W20,SKU0005,WA,Washington DC,Walmart,CASE,10573
2026-W21,SKU0005,WA,Washington DC,Walmart,CASE,12010
2026-W22,SKU0005,WA,Washington DC,Walmart,CASE,11797
2026-W23,SKU0005,WA,Washington DC,Walmart,CASE,11748
2026-W24,SKU0005,WA,Washington DC,Walmart,CASE,11298
2026-W25,SKU0005,WA,Washington DC,Walmart,CASE,10764
2026-W26,SKU0005,WA,Washington DC,Walmart,CASE,10438
2026-W15,SKU0005,PA,Pennsylvania DC,Amazon,CASE,9723
2026-W16,SKU0005,PA,Pennsylvania DC,Amazon,CASE,10183
2026-W17,SKU0005,PA,Pennsylvania DC,Amazon,CASE,9561
2026-W18,SKU0005,PA,Pennsylvania DC,Amazon,CASE,10436
2026-W19,SKU0005,PA,Pennsylvania DC,Amazon,CASE,9521
2026-W20,SKU0005,PA,Pennsylvania DC,Amazon,CASE,9673
2026-W21,SKU0005,PA,Pennsylvania DC,Amazon,CASE,10206
2026-W22,SKU0005,PA,Pennsylvania DC,Amazon,CASE,9903
2026-W23,SKU0005,PA,Pennsylvania DC,Amazon,CASE,9937
2026-W24,SKU0005,PA,Pennsylvania DC,Amazon,CASE,10153
2026-W25,SKU0005,PA,Pennsylvania DC,Amazon,CASE,9923
2026-W26,SKU0005,PA,Pennsylvania DC,Amazon,CASE,10070
2026-W15,SKU0005,FL,Florida DC,Amazon,CASE,8606
2026-W16,SKU0005,FL,Florida DC,Amazon,CASE,9091
2026-W17,SKU0005,FL,Florida DC,Amazon,CASE,10050
2026-W18,SKU0005,FL,Florida DC,Amazon,CASE,8718
2026-W19,SKU0005,FL,Florida DC,Amazon,CASE,9337
2026-W20,SKU0005,FL,Florida DC,Amazon,CASE,8836
2026-W21,SKU0005,FL,Florida DC,Amazon,CASE,9208
2026-W22,SKU0005,FL,Florida DC,Amazon,CASE,9254
2026-W23,SKU0005,FL,Florida DC,Amazon,CASE,9306
2026-W24,SKU0005,FL,Florida DC,Amazon,CASE,9590
2026-W25,SKU0005,FL,Florida DC,Amazon,CASE,9538
2026-W26,SKU0005,FL,Florida DC,Amazon,CASE,10011
2026-W15,SKU0005,NV,Nevada DC,Amazon,CASE,8968
2026-W16,SKU0005,NV,Nevada DC,Amazon,CASE,8810
2026-W17,SKU0005,NV,Nevada DC,Amazon,CASE,8833
2026-W18,SKU0005,NV,Nevada DC,Amazon,CASE,8683
2026-W19,SKU0005,NV,Nevada DC,Amazon,CASE,8821
2026-W20,SKU0005,NV,Nevada DC,Amazon,CASE,9331
2026-W21,SKU0005,NV,Nevada DC,Amazon,CASE,9711
2026-W22,SKU0005,NV,Nevada DC,Amazon,CASE,8972
2026-W23,SKU0005,NV,Nevada DC,Amazon,CASE,9519
2026-W24,SKU0005,NV,Nevada DC,Amazon,CASE,9507
2026-W25,SKU0005,NV,Nevada DC,Amazon,CASE,10211
2026-W26,SKU0005,NV,Nevada DC,Amazon,CASE,10080
2026-W15,SKU0005,WA,Washington DC,Amazon,CASE,8460
2026-W16,SKU0005,WA,Washington DC,Amazon,CASE,8331
2026-W17,SKU0005,WA,Washington DC,Amazon,CASE,8401
2026-W18,SKU0005,WA,Washington DC,Amazon,CASE,8493
2026-W19,SKU0005,WA,Washington DC,Amazon,CASE,7760
2026-W20,SKU0005,WA,Washington DC,Amazon,CASE,7563
2026-W21,SKU0005,WA,Washington DC,Amazon,CASE,7572
2026-W22,SKU0005,WA,Washington DC,Amazon,CASE,8244
2026-W23,SKU0005,WA,Washington DC,Amazon,CASE,7598
2026-W24,SKU0005,WA,Washington DC,Amazon,CASE,9099
2026-W25,SKU0005,WA,Washington DC,Amazon,CASE,8656
2026-W26,SKU0005,WA,Washington DC,Amazon,CASE,7507
2026-W15,SKU0006,WI,Wisconsin DC,Walmart,CASE,18934
2026-W16,SKU0006,WI,Wisconsin DC,Walmart,CASE,18350
2026-W17,SKU0006,WI,Wisconsin DC,Walmart,CASE,18645
